TRIPID,alt,CAD_TotalTC,C2PT_HwyT,HHSIZE,W2PT_TotalTT,Chosen_Mode,adul_veh,HwyDist,TOT_WWORKER,TOT_VEHS,C2PT_TotalTT,HwyCost,WalkT,TOT_BWORKER,emp_dens,veh_per,C2PT_TotalTC,CBDParkCost,C2PT_HwyC,TOT_SCHOOL,TOT_TERTIARY,C2PT_Fare,TOT_ADULTS,ivt,wt,act,tt,tc,av
1,cad,1535.34,1.32,4,19.23,False,1,5.02,2,1,20.61,75.34,55.92,0,75921.1,0.5,261.4,1460,11.4,2,0,250,2,0.0,0.0,0.0,12.76,75.34,1
1,cap,1535.34,1.32,4,19.23,False,1,5.02,2,1,20.61,75.34,55.92,0,75921.1,0.5,261.4,1460,11.4,2,0,250,2,0.0,0.0,0.0,12.76,75.34,1
1,cycle,1535.34,1.32,4,19.23,False,1,5.02,2,1,20.61,75.34,55.92,0,75921.1,0.5,261.4,1460,11.4,2,0,250,2,0.0,0.0,0.0,18.64,0.0,1
1,kr,1535.34,1.32,4,19.23,False,1,5.02,2,1,20.61,75.34,55.92,0,75921.1,0.5,261.4,1460,11.4,2,0,250,2,6.56,2.17,10.56,20.61,30.69,1
1,pr,1535.34,1.32,4,19.23,False,1,5.02,2,1,20.61,75.34,55.92,0,75921.1,0.5,261.4,1460,11.4,2,0,250,2,6.56,2.17,10.56,20.61,30.69,1
1,w2pt,1535.34,1.32,4,19.23,True,1,5.02,2,1,20.61,75.34,55.92,0,75921.1,0.5,261.4,1460,11.4,2,0,250,2,10.22,2.48,6.53,19.23,250.0,1
1,walk,1535.34,1.32,4,19.23,False,1,5.02,2,1,20.61,75.34,55.92,0,75921.1,0.5,261.4,1460,11.4,2,0,250,2,0.0,0.0,0.0,55.92,0.0,1
2,cad,1542.03,1.32,1,21.57,True,0,5.46,1,1,15.69,82.03,62.4,0,172645.38,1.0,261.4,1460,11.4,0,0,250,1,0.0,0.0,0.0,13.04,82.03,1
2,cap,1542.03,1.32,1,21.57,False,0,5.46,1,1,15.69,82.03,62.4,0,172645.38,1.0,261.4,1460,11.4,0,0,250,1,0.0,0.0,0.0,13.04,82.03,1
2,cycle,1542.03,1.32,1,21.57,False,0,5.46,1,1,15.69,82.03,62.4,0,172645.38,1.0,261.4,1460,11.4,0,0,250,1,0.0,0.0,0.0,20.8,0.0,1
2,kr,1542.03,1.32,1,21.57,False,0,5.46,1,1,15.69,82.03,62.4,0,172645.38,1.0,261.4,1460,11.4,0,0,250,1,9.56,2.17,2.64,15.69,25.77,1
2,pr,1542.03,1.32,1,21.57,False,0,5.46,1,1,15.69,82.03,62.4,0,172645.38,1.0,261.4,1460,11.4,0,0,250,1,9.56,2.17,2.64,15.69,25.77,1
2,w2pt,1542.03,1.32,1,21.57,False,0,5.46,1,1,15.69,82.03,62.4,0,172645.38,1.0,261.4,1460,11.4,0,0,250,1,9.56,2.17,9.84,21.57,250.0,1
2,walk,1542.03,1.32,1,21.57,False,0,5.46,1,1,15.69,82.03,62.4,0,172645.38,1.0,261.4,1460,11.4,0,0,250,1,0.0,0.0,0.0,62.4,0.0,1
3,cad,229.97,1.32,2,51.78,True,1,15.33,2,1,51.9,229.97,175.2,0,916.99,0.5,301.4,0,11.4,0,0,290,2,0.0,0.0,0.0,26.18,229.97,1
3,cap,229.97,1.32,2,51.78,False,1,15.33,2,1,51.9,229.97,175.2,0,916.99,0.5,301.4,0,11.4,0,0,290,2,0.0,0.0,0.0,26.18,229.97,1
3,cycle,229.97,1.32,2,51.78,False,1,15.33,2,1,51.9,229.97,175.2,0,916.99,0.5,301.4,0,11.4,0,0,290,2,0.0,0.0,0.0,58.4,0.0,1
3,kr,229.97,1.32,2,51.78,False,1,15.33,2,1,51.9,229.97,175.2,0,916.99,0.5,301.4,0,11.4,0,0,290,2,30.16,12.0,8.42,51.9,61.98,1
3,pr,229.97,1.32,2,51.78,False,1,15.33,2,1,51.9,229.97,175.2,0,916.99,0.5,301.4,0,11.4,0,0,290,2,30.16,12.0,8.42,51.9,61.98,1
3,w2pt,229.97,1.32,2,51.78,False,1,15.33,2,1,51.9,229.97,175.2,0,916.99,0.5,301.4,0,11.4,0,0,290,2,30.52,12.0,9.26,51.78,290.0,1
3,walk,229.97,1.32,2,51.78,False,1,15.33,2,1,51.9,229.97,175.2,0,916.99,0.5,301.4,0,11.4,0,0,290,2,0.0,0.0,0.0,175.2,0.0,1
4,cad,188.45,1.32,5,48.24,True,-1,12.56,2,3,42.36,188.45,150.0,0,296.32,1.5,261.4,0,11.4,3,0,250,2,0.0,0.0,0.0,23.05,188.45,1
4,cap,188.45,1.32,5,48.24,False,-1,12.56,2,3,42.36,188.45,150.0,0,296.32,1.5,261.4,0,11.4,3,0,250,2,0.0,0.0,0.0,23.05,188.45,1
4,cycle,188.45,1.32,5,48.24,False,-1,12.56,2,3,42.36,188.45,150.0,0,296.32,1.5,261.4,0,11.4,3,0,250,2,0.0,0.0,0.0,50.0,0.0,1
4,kr,188.45,1.32,5,48.24,False,-1,12.56,2,3,42.36,188.45,150.0,0,296.32,1.5,261.4,0,11.4,3,0,250,2,22.28,5.56,13.2,42.36,52.44,1
4,pr,188.45,1.32,5,48.24,False,-1,12.56,2,3,42.36,188.45,150.0,0,296.32,1.5,261.4,0,11.4,3,0,250,2,22.28,5.56,13.2,42.36,52.44,1
4,w2pt,188.45,1.32,5,48.24,False,-1,12.56,2,3,42.36,188.45,150.0,0,296.32,1.5,261.4,0,11.4,3,0,250,2,22.28,5.56,20.4,48.24,250.0,1
4,walk,188.45,1.32,5,48.24,False,-1,12.56,2,3,42.36,188.45,150.0,0,296.32,1.5,261.4,0,11.4,3,0,250,2,0.0,0.0,0.0,150.0,0.0,1
5,cad,173.75,1.32,5,41.38,True,-1,11.58,2,3,39.22,173.75,138.24,0,2119.6,1.5,261.4,0,11.4,3,0,250,2,0.0,0.0,0.0,20.73,173.75,1
5,cap,173.75,1.32,5,41.38,False,-1,11.58,2,3,39.22,173.75,138.24,0,2119.6,1.5,261.4,0,11.4,3,0,250,2,0.0,0.0,0.0,20.73,173.75,1
5,cycle,173.75,1.32,5,41.38,False,-1,11.58,2,3,39.22,173.75,138.24,0,2119.6,1.5,261.4,0,11.4,3,0,250,2,0.0,0.0,0.0,46.08,0.0,1
5,kr,173.75,1.32,5,41.38,False,-1,11.58,2,3,39.22,173.75,138.24,0,2119.6,1.5,261.4,0,11.4,3,0,250,2,23.74,8.14,6.02,39.22,49.3,1
5,pr,173.75,1.32,5,41.38,False,-1,11.58,2,3,39.22,173.75,138.24,0,2119.6,1.5,261.4,0,11.4,3,0,250,2,23.74,8.14,6.02,39.22,49.3,1
5,w2pt,173.75,1.32,5,41.38,False,-1,11.58,2,3,39.22,173.75,138.24,0,2119.6,1.5,261.4,0,11.4,3,0,250,2,26.7,9.37,5.31,41.38,250.0,1
5,walk,173.75,1.32,5,41.38,False,-1,11.58,2,3,39.22,173.75,138.24,0,2119.6,1.5,261.4,0,11.4,3,0,250,2,0.0,0.0,0.0,138.24,0.0,1
6,cad,103.65,1.32,3,31.25,True,1,6.91,0,2,25.37,103.65,78.6,0,541.52,0.666666667,221.4,0,11.4,0,0,210,3,0.0,0.0,0.0,15.5,103.65,1
6,cap,103.65,1.32,3,31.25,False,1,6.91,0,2,25.37,103.65,78.6,0,541.52,0.666666667,221.4,0,11.4,0,0,210,3,0.0,0.0,0.0,15.5,103.65,1
6,cycle,103.65,1.32,3,31.25,False,1,6.91,0,2,25.37,103.65,78.6,0,541.52,0.666666667,221.4,0,11.4,0,0,210,3,0.0,0.0,0.0,26.2,0.0,1
