,idx.chid,idx.alt,choice,cost,risk,weight,seats,noise,crowdness,convloc,clientele,african,lifeExp,dwage,iwage,educ,fatalism,gender,age,haveChildren,swim,idx.id
0,1,Ferry,TRUE,34.72887,4.431152,1.4678842,0.4,0.2,0.2,0.4,0.8,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
1,1,Helicopter,FALSE,0,0,1.4678842,0,0,0,0,0,yes,52,19.3974762,19.3974762,high,0,male,33,yes,yes,8020605
2,1,Hovercraft,FALSE,57.04705,3.881836,1.4678842,0.8,1,1,0.6,1,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
3,1,WaterTaxi,FALSE,59.310089,2.55127,1.4678842,0.8,1,1,0.8,1,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
4,2,Ferry,TRUE,34.72887,4.431152,1.4678842,0.4,0.2,0.2,0.4,0.8,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
5,2,Helicopter,FALSE,99.869286,18.408203,1.4678842,0.8,1,1,0.6,1,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
6,2,Hovercraft,FALSE,81.044502,3.881836,1.4678842,0.8,1,1,0.6,1,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
7,2,WaterTaxi,FALSE,59.310089,2.55127,1.4678842,0.8,1,1,0.8,1,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
8,3,Ferry,TRUE,34.72887,4.431152,1.4678842,0.4,0.2,0.2,0.4,0.8,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
9,3,Helicopter,FALSE,99.869286,18.408203,1.4678842,0.8,1,1,0.6,1,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
10,3,Hovercraft,FALSE,81.044502,3.881836,1.4678842,0.8,1,1,0.6,1,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
11,3,WaterTaxi,FALSE,59.310089,2.55127,1.4678842,0.8,1,1,0.8,1,yes,52,19.3974762,19.3974762,high,6,male,33,yes,yes,8020605
12,6,Ferry,FALSE,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,no,37,0,70.6850052,high,4,male,33,no,no,8260102
13,6,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
14,6,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
15,6,WaterTaxi,TRUE,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,no,37,0,70.6850052,high,4,male,33,no,no,8260102
16,7,Ferry,FALSE,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,no,37,0,70.6850052,high,4,male,33,no,no,8260102
17,7,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
18,7,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
19,7,WaterTaxi,TRUE,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,no,37,0,70.6850052,high,4,male,33,no,no,8260102
20,8,Ferry,FALSE,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,no,37,0,70.6850052,high,4,male,33,no,no,8260102
21,8,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
22,8,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
23,8,WaterTaxi,TRUE,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,no,37,0,70.6850052,high,4,male,33,no,no,8260102
24,9,Ferry,FALSE,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,no,37,0,70.6850052,high,4,male,33,no,no,8260102
25,9,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
26,9,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
27,9,WaterTaxi,TRUE,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,no,37,0,70.6850052,high,4,male,33,no,no,8260102
28,10,Ferry,FALSE,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,no,37,0,70.6850052,high,4,male,33,no,no,8260102
29,10,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
30,10,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,no,37,0,70.6850052,high,0,male,33,no,no,8260102
