,sl.no,idx.chid,idx.alt,choice,cost,risk,weight,seats,noise,crowdness,convloc,clientele,african,lifeExp,dwage,iwage,educ,fatalism,gender,age,haveChildren,swim,idx.id,av,afrifer,afrihov,afriwat,lifefer,lifehov,lifewat,dwagfer,dwaghov,dwagwat,iwagfer,iwaghov,iwagwat,educfer,educhov,educwat,gendfer,gendhov,gendwat,agefer,agehove,agewat,Childfer,Childhov,Childwat,swimfer,swimhov,swimwat
0,0,1,Ferry,1,34.72887,4.431152,1.4678842,0.4,0.2,0.2,0.4,0.8,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1,0,0
1,1,1,Helicopter,0,0,0,0,0,0,0,0,0,1,52,19.3974762,19.3974762,1,0,1,33,1,1,8020605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,Hovercraft,0,57.04705,3.881836,1.4678842,0.8,1,1,0.6,1,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,0,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1,0
3,3,1,WaterTaxi,0,59.310089,2.55127,1.4678842,0.8,1,1,0.8,1,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,0,0,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1
4,4,2,Ferry,1,34.72887,4.431152,1.4678842,0.4,0.2,0.2,0.4,0.8,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1,0,0
5,5,2,Helicopter,0,99.869286,18.408203,1.4678842,0.8,1,1,0.6,1,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2,Hovercraft,0,81.044502,3.881836,1.4678842,0.8,1,1,0.6,1,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,0,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1,0
7,7,2,WaterTaxi,0,59.310089,2.55127,1.4678842,0.8,1,1,0.8,1,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,0,0,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1
8,8,3,Ferry,1,34.72887,4.431152,1.4678842,0.4,0.2,0.2,0.4,0.8,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1,0,0
9,9,3,Helicopter,0,99.869286,18.408203,1.4678842,0.8,1,1,0.6,1,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,3,Hovercraft,0,81.044502,3.881836,1.4678842,0.8,1,1,0.6,1,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,0,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1,0
11,11,3,WaterTaxi,0,59.310089,2.55127,1.4678842,0.8,1,1,0.8,1,1,52,19.3974762,19.3974762,1,6,1,33,1,1,8020605,1,0,0,1,0,0,52,0,0,19.3974762,0,0,19.3974762,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1
12,12,6,Ferry,0,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0,0
13,13,6,Helicopter,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,6,Hovercraft,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0
15,15,6,WaterTaxi,1,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0
16,16,7,Ferry,0,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0,0
17,17,7,Helicopter,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,7,Hovercraft,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0
19,19,7,WaterTaxi,1,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0
20,20,8,Ferry,0,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0,0
21,21,8,Helicopter,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,8,Hovercraft,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0
23,23,8,WaterTaxi,1,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0
24,24,9,Ferry,0,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0,0
25,25,9,Helicopter,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,9,Hovercraft,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0
27,27,9,WaterTaxi,1,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0
28,28,10,Ferry,0,122.498245,4.431152,0.3863821,0.6,0.8,0.8,0.4,0.6,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0,0
29,29,10,Helicopter,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,10,Hovercraft,0,0,0,0,0,0,0,0,0,0,37,0,70.6850052,1,0,1,33,0,0,8260102,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0
31,31,10,WaterTaxi,1,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,0,37,0,70.6850052,1,4,1,33,0,0,8260102,1,0,0,0,0,0,37,0,0,0,0,0,70.6850052,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0
32,32,13,Ferry,0,59.736721,4.431152,0.3863821,0.8,0.6,0.4,0.4,0.6,1,45,34.6420326,34.6420326,1,3,0,35,0,0,8260104,1,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0
33,33,13,Helicopter,0,0,0,0,0,0,0,0,0,1,45,34.6420326,34.6420326,1,0,0,35,0,0,8260104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,13,Hovercraft,0,0,0,0,0,0,0,0,0,1,45,34.6420326,34.6420326,1,0,0,35,0,0,8260104,0,0,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0
35,35,13,WaterTaxi,1,60.207851,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.6,1,45,34.6420326,34.6420326,1,3,0,35,0,0,8260104,1,0,0,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0
36,36,14,Ferry,0,59.736721,4.431152,0.3863821,0.8,0.6,0.4,0.4,0.6,1,45,34.6420326,34.6420326,1,3,0,35,0,0,8260104,1,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0
37,37,14,Helicopter,0,0,0,0,0,0,0,0,0,1,45,34.6420326,34.6420326,1,0,0,35,0,0,8260104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,14,Hovercraft,0,0,0,0,0,0,0,0,0,1,45,34.6420326,34.6420326,1,0,0,35,0,0,8260104,0,0,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0
39,39,14,WaterTaxi,1,60.207851,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.6,1,45,34.6420326,34.6420326,1,3,0,35,0,0,8260104,1,0,0,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0
