id,alt,price,time,conven,comfort,meals,petfr,emipp,nonsig1,nonsig2,nonsig3,choice
1,1,6.0,6.0,3.0,4.98087036,6.90967775,0.0,2.0,4.0,1.0,5.0,0.0
1,2,7.0,2.73019998,4.0,4.5,6.0,0.0,0.5,2.0,3.0,1.88870711,1.0
1,3,11.0,2.59879232,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
2,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
2,2,7.0,3.5,3.29860006,4.5,4.82737583,0.0,0.5,2.0,3.0,2.0,1.0
2,3,11.0,3.0,8.0,3.00417059,4.0,3.0,7.0,5.0,1.0,4.0,0.0
3,1,6.0,6.0,3.0,4.47414864,7.57155892,0.0,2.0,4.0,2.61985455,5.0,0.0
3,2,7.0,3.5,5.05910648,4.16180527,6.0,0.0,-0.06078222,2.0,3.0,2.10557202,1.0
3,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.25698207,4.0,0.0
4,1,6.0,5.70540749,2.79063985,4.0,7.0,0.0,3.71885754,4.0,1.0,5.0,0.0
4,2,9.13734538,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
4,3,11.0,3.0,8.0,0.15760175,4.0,3.0,7.0,5.0,1.0,4.0,0.0
5,1,6.0,6.0,3.0,4.0,7.0,-0.31863849,2.0,4.0,2.24241822,5.0,0.0
5,2,7.0,3.5,4.0,5.07700834,5.02777825,0.0,0.5,1.04132561,3.0,2.0,1.0
5,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.50123422,4.0,0.0
6,1,6.0,5.75026641,2.61841293,4.0,7.0,0.19175081,2.0,4.0,1.0,3.97348231,0.0
6,2,7.0,2.22817487,4.0,4.5,6.0,-1.03384148,0.5,2.0,-0.64632529,2.0,1.0
6,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
7,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.66388693,0.0
7,2,7.68999677,3.57703518,5.8037136,4.5,6.0,0.0,0.30743637,2.0,3.0,2.0,1.0
7,3,11.0,2.87393766,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
8,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
8,2,7.0,3.5,4.0,3.89599631,6.88840911,0.0,0.5,2.0,2.35643035,2.0,1.0
8,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.5927422,5.25028218,0.0
9,1,6.0,6.0,3.0,4.0,6.62173926,0.0,2.0,4.0,1.25530563,5.0,0.0
9,2,7.0,3.5,4.0,2.70807939,6.38160947,0.0,0.5,2.0,3.0,2.0,1.0
9,3,11.0,3.0,8.0,0.89246139,1.62362116,3.0,7.0,5.0,1.0,4.0,0.0
10,1,6.0,8.06086561,3.81758902,4.0,7.0,0.0,2.0,2.59382834,1.0,5.0,0.0
10,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
10,3,11.0,3.0,8.0,2.0,4.0,3.0,7.52628631,5.0,1.0,4.0,0.0
11,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
11,2,7.0,3.5,3.89490409,5.32332959,6.0,0.0,0.5,2.0,3.0,2.0,1.0
11,3,11.0,3.0,6.87792003,2.0,4.0,3.0,7.0,5.09119449,1.0,4.0,0.0
12,1,6.0,6.0,3.0,4.0,7.87159586,0.21466219,2.0,4.0,0.25759431,5.0,0.0
12,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
12,3,11.0,3.0,8.0,2.0,4.0,3.0,9.75717898,5.0,1.0,4.0,0.0
13,1,6.0,6.0,4.56639482,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
13,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,0.0
13,3,11.0,1.83229769,5.80210207,2.0,4.0,4.96202597,9.91600532,5.0,1.02559354,4.0,1.0
14,1,6.0,6.0,2.66728,4.0,6.98975174,0.0,1.68036139,4.0,1.0,5.56716439,0.0
14,2,6.39188575,3.5,4.0,4.5,5.75507118,-0.30612718,0.5,2.0,3.12139607,2.45846923,1.0
14,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
15,1,6.0,6.0,5.24333332,4.0,7.0,0.6566029,2.06277447,4.0,1.0,5.0,0.0
15,2,7.20231673,3.5,4.0,4.5,6.0,0.0,0.57786792,2.0,2.55552131,2.0,0.0
15,3,11.0,3.0,8.0,3.51213375,4.56137071,3.0,7.0,5.0,1.0,4.18127803,1.0
